mw_id,ce_id
HEX15069-0004,8f9e1e22-8301-4a8c-9e8f-4ad100498e98
HEX9803-0004,fcda5cce-c468-4fd5-a240-353055f3b331
HEX9834-0011,e727f658-1f34-4b18-9322-e4f8107d7552
KHX1585-0018,cd2c7230-dff0-4c86-b162-388c5f668610
HEX9435-0006,5cfe3742-8873-4344-9d22-0baa5b293afa
HEX7424-0009,5cb1f482-ebbd-47b4-918e-508627afa701
KLX0545-0020,e09bcfe0-8d75-401c-89c0-b7b74ac8c437
HEX15069-0003,23190edc-097b-4854-9cdf-39b7495b8283
JK107880-0007,13704d24-784d-426e-a494-61f305e68e47
KEX1229-0010,2f51634c-6a1e-4ce6-9cd2-a93070b05b77
HEX5421-0009,5f3051dc-0f87-48e9-84d7-99b09346bc11
HEX5372-0002,b0575701-eb63-4c33-8e95-c0ba528fe6df
HEX6794-0014,de90c985-b776-4163-bbe7-869a8f56f796
KEX1238-0003,47b8725c-903c-44a9-b62b-401073ec7692
HEX1240-0001,b1f56f9b-afac-48f2-ab5f-8c1e631941f4
KEX1440-0001,38edd539-a390-43e9-b4f9-c90dc272570d
JK54106-0003,e208a0f6-df34-459f-bd30-1709dfc78e77
HEX13650-0012,578bbb4f-35bf-4eab-8652-fea6f896728e
KEX1218-0011,1469fdc6-8f6d-45e9-91ea-934d07774755
KEX0561-0004,5901c883-92c6-4e04-9cec-1d6e682e2d9c
KEX1195-0006,82411277-1a51-4e4a-b792-c2dd91fafd87
JK116914-0010,87f32d0a-1bf9-41f5-8e55-38846c98ed1c
KEX1252-0010,a9e12a86-d828-4321-b9a0-e31f79095fa9
KEX1242-0002,04a43622-cc61-4d76-9346-eb19d40b42da
HEX1410-0001,0ba9a56d-4e5d-403c-bb21-32cbda57a900
HEX1764-0005,b18c0be5-2bdf-4ce2-8eac-1850136a22ca
KEX1323-0007,5512dab1-44c1-415b-b45a-3caa2cb10c49
KEX1195-0001,73edd178-d72c-4e5e-8c9f-f03baac0e908
HEX1468-0008,f98cd09c-4225-4e1c-abfd-b02dcde6ffdd
HEX15221-0017,68bcb607-17ef-4c54-8c8d-63bc6a8f5121
HEX5940-0013,f4340053-ce2f-40d6-8578-57cfbdbbb84f
HEX7361-0002,c3604fe2-93eb-4997-a109-90d4f9c22a14
KHX0656-0003,b1b05b7e-1033-4c00-9c18-c5f373648638
HEX9641-0004,f133fc00-ab8b-45c8-ae9e-6064bcf2f91a
JK103835-0006,843a11c1-b189-4ca8-ab0e-bb882fafd693
JK136421-0011,afeb7f21-1ae7-489e-a2f6-433c58495d58
JK147861-0005,fcfd1ef5-e557-4828-81ab-4adff65b5483
HEX11242-0010,08bc142f-2f84-4114-a024-cdd0f04f40b3
HEX4394-0005,fbe3caff-7a50-498a-95e7-549c53659937
KHX0204-0009,0d1d69f2-f654-4345-9495-a90a7c6d09b4
KHX1799-0003,bfd949e2-0d8b-4335-8ce8-d22c109d6f8d
KHX1465-0003,9d0fb079-d3e2-4a5a-b514-b4df625269e5
JHX4077-0008,dd5eb2fa-cd85-4020-bbd7-754092ba2a92
KHX0346-0011,91c07c90-061b-4829-8f2d-7e1e82378a00
KHX0616-0018,c4c6e186-2d92-4a97-a861-2c8b20ddc77b
KHX1661-0004,47e705a5-2399-4655-b12f-9a3e07aac766
KHX2702-0016,793b07a1-47d4-4d04-b89d-68b5d37e16c0
HDX4887-0003,e894c59f-1fa0-4da8-86cd-30f996b5f786
HEX0203-0007,87719688-e8c9-4610-99ee-53b8c935be90
HEX11978-0024,97f02c4b-2f65-42b4-ac7d-af297a9ff249
HEX2329-0001,0cc1a819-0102-4e20-8d7a-fb895b467816
HEX4245-0005,1fddfdfa-0447-4c7d-b2c7-9dbd4c3acea9
HEX2585-0010,820e608c-1174-4ce5-9eab-999061defd53
JK220617-0007,677bfe5b-86c6-4c39-8a3b-6f6cbdd437dd
JK129607-0009,cc2784aa-782b-4ced-94c5-98067177aba1
JK130925-0001,fc4f0dbf-b01e-4b73-bc60-e7ed1a2adc71
HEX4510-0002,2b7ead28-e142-4f25-991f-0944c41cccfd
HEX6393-0016,01836674-470f-42a5-9a2d-d6a39f72593d
KHX1358-0009,7ae057d8-5a5a-410e-ae69-5599b062feac
JK243927-0009,21cfc310-cc94-4386-b0de-1e90584b61f9
HEX0966-0020,bc06c258-2ee8-481f-84cb-f2462214621b
HEX11582-0010,a972427c-3253-4721-9887-6d4fac69d23e
KHX2617-0001,467accef-6bc4-4df4-8930-446a016ec658
KHX2681-0014,d21d8c41-bc5f-4b8b-96bc-e2c31390a4eb
HEX13908-0011,906d8088-33ee-4c7b-b515-652680fbc8d9
KDX1509-0005,a70a52e0-20b5-4a87-91f5-adfa0cc17daa
KJX0974-0010,12268bf7-0c9c-4e8c-9dbe-8886eeb9ff3f
KJX1462-0002,23a0be08-2999-43fa-9c99-296cb4967d84
KJX3042-0002,8083ca8b-39f5-4cc4-b1cb-153ccc5c060a
KJX4429-0009,d9ff57c6-8545-4ff3-a22d-240dbf6d97ae
KJX4324-0001,f1c282e1-070f-4862-a0bf-2a760f3a8a41
KJX4125-0010,debd881c-7c51-42e2-97a5-658c1bf6f667
